date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:18:56	5621/5621	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Apr%202025%2007:18:56%20GMT	http://44.203.154.21:8000/robots.txt		(from )
00:18:57	40621/40621	---M--	200	added ('OK')	text/html	date:Fri,%2004%20Apr%202025%2007:18:57%20GMT	http://44.203.154.21:8000/	C:/My%20Web%20Sites/PSN-YPG%20Final%20V1/44.203.154.21_8000/index.html	(from )
00:18:58	28168/28168	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Apr%202025%2016:33:59%20GMT	http://44.203.154.21:8000/static/img/favicon.png	C:/My%20Web%20Sites/PSN-YPG%20Final%20V1/44.203.154.21_8000/static/img/favicon.png	(from http://44.203.154.21:8000/)
00:19:01	165989/165989	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Apr%202025%2016:33:58%20GMT	http://44.203.154.21:8000/static/css/bootstrap.min.css	C:/My%20Web%20Sites/PSN-YPG%20Final%20V1/44.203.154.21_8000/static/css/bootstrap.min.css	(from http://44.203.154.21:8000/)
00:19:02	3991/3991	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Apr%202025%2016:33:58%20GMT	http://44.203.154.21:8000/static/css/nice-select.css	C:/My%20Web%20Sites/PSN-YPG%20Final%20V1/44.203.154.21_8000/static/css/nice-select.css	(from http://44.203.154.21:8000/)
00:19:02	31000/31000	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Apr%202025%2016:33:58%20GMT	http://44.203.154.21:8000/static/css/font-awesome.min.css	C:/My%20Web%20Sites/PSN-YPG%20Final%20V1/44.203.154.21_8000/static/css/font-awesome.min.css	(from http://44.203.154.21:8000/)
00:19:04	92211/92211	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Apr%202025%2016:33:58%20GMT	http://44.203.154.21:8000/static/css/icofont.css	C:/My%20Web%20Sites/PSN-YPG%20Final%20V1/44.203.154.21_8000/static/css/icofont.css	(from http://44.203.154.21:8000/)
00:19:06	2235/2235	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Apr%202025%2016:33:58%20GMT	http://44.203.154.21:8000/static/css/slicknav.min.css	C:/My%20Web%20Sites/PSN-YPG%20Final%20V1/44.203.154.21_8000/static/css/slicknav.min.css	(from http://44.203.154.21:8000/)
00:19:06	5749/5749	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Apr%202025%2016:33:58%20GMT	http://44.203.154.21:8000/static/css/owl-carousel.css	C:/My%20Web%20Sites/PSN-YPG%20Final%20V1/44.203.154.21_8000/static/css/owl-carousel.css	(from http://44.203.154.21:8000/)
00:19:07	160302/160302	---MCZ	200	added ('OK')	text/css	etag:W/%22816af0eddd3b4822c2756227c7e7b7ee%22	https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	C:/My%20Web%20Sites/PSN-YPG%20Final%20V1/stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	(from http://44.203.154.21:8000/)
